property_id,property_index,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data,subject_id
44,44,"Detached, 2-Storey ",Detached,,1750.0,,,,,,,615000.0,,1001 Lombardy Street ,Kingston ,Ontario,K7M 8M7,44.2394,-76.5895,6279.0,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
45,45,"Detached, Backsplit 3 ",Detached,,1300.0,,,,,,,595000.0,,605 Truedell Road ,Kingston ,Ontario,K7M 6S7,44.2422,-76.5804,5400.0,,Finished ,,Backsplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
46,46,"Condo Townhouse, 2-Storey ",Condo Townhouse,,1100.0,,,,,,,327000.0,,771 ASHWOOD Drive ,Kingston ,Ontario,K7M 6X7,44.2488,-76.5889,,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
47,47,"Condo Apartment, Apartment ",Condo Apartment,,550.0,,,,,,,253750.0,,Unit 108 - 835 Milford Drive ,Kingston ,Ontario,K7P 1A7,44.2508,-76.5839,,,Apartment ,,Apartment ,Baseboard ,Window Unit(s) ,False,,False,False,,False,0
48,48,Detached,Detached,,1300.0,,,,,,,570000.0,,494 Roosevelt Dr ,Kingston ,Ontario,K7M 4B1,44.2343,-76.5812,6900.0,40.0,"Finished, Full ",,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,,False,0
49,49,Detached,Detached,,2470.0,,,,,,,875000.0,,393 Bernice Dr ,Kingston ,Ontario,K7M 5X2,44.2316,-76.5828,7500.0,40.0,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
50,50,Detached,Detached,,2750.0,,,,,,,725000.0,,871 Crestwood Ave ,Kingston ,Ontario,K7P 1S7,44.2524,-76.6002,6500.0,40.0,"Unfinished, W/O ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
51,51,"Detached, Bungalow-Raised ",Detached,,1300.0,,,,,,,570000.0,,494 Roosevelt Drive ,Kingston ,Ontario,K7M 4B1,44.2343,-76.5812,6900.0,,"Finished, Full ",,Bungalow-Raised ,Forced Air ,Central Air ,False,,False,False,,False,0
52,52,"Detached, 2-Storey ",Detached,,2750.0,,,,,,,725000.0,,871 Crestwood Avenue ,Kingston ,Ontario,K7P 1S7,44.2524,-76.6002,6500.0,,"Unfinished, Walk-Out ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
53,53,"Detached, 2-Storey ",Detached,,2482.0,,,,,,,875000.0,,393 Bernice Drive ,Kingston ,Ontario,K7M 5X2,44.2316,-76.5828,7500.0,,"Finished, Full ",,2-Storey ,Forced Air ,Central Air ,False,,False,False,,False,0
54,54,Semi-Detached,Semi-Detached,,1156.0,,,,,,,455000.0,,760 Grouse Cres ,Kingston ,Ontario,K7P 1A2,44.2493,-76.5827,6987.0,40.0,Fin W/O ,,Bungalow ,Forced Air ,Central Air ,False,,False,False,,False,0
55,55,Detached,Detached,,1493.0,,,,,,,500000.0,,698 Fleet St ,Kingston ,Ontario,K7M 5A5,44.2454,-76.5947,6600.0,,"Sep Entrance, Walk-Up ",,Backsplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
56,56,Condo Townhouse,Condo Townhouse,,1300.0,,,,,,,331000.0,,912 OAKVIEW St ,Kingston ,Ontario,K7M 6V6,44.2486,-76.5875,,,"Full, Unfinished ",,2-Storey ,Forced Air ,,False,,False,False,,False,0
57,57,"Detached, Backsplit 3 ",Detached,,1504.0,,,,,,,500000.0,,698 Fleet Street ,Kingston ,Ontario,K7M 5A5,44.2454,-76.5947,6600.0,,"Separate Entrance, Walk-Up ",,Backsplit 3 ,Forced Air ,Central Air ,False,,False,False,,False,0
58,58,"Semi-Detached, Bungalow ",Semi-Detached,,1119.0,,,,,,,455000.0,,760 Grouse Crescent ,Kingston ,Ontario,K7P 1A2,44.2493,-76.5827,6987.0,,Finished with Walk-Out ,,Bungalow ,Forced Air ,Central Air ,False,,False,False,,False,0
