property_id,subject_id,orderID,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data
9554,83,4778326,Semi Detached (Half Duplex),Semi Detached (Half Duplex),Semi-Detached,1114.0,4,0,4,2,1,2.5,582000.0,2025-04-27,37 Berwick Rise NW ,Calgary ,Alberta,T3K 1C9,51.1295,-114.089,3089.0,1978.0,Full ,500.0,"2 Storey, Attached-Si ","Forced Air, Natural Gas ",,False,,False,False,semi-detached-indicator,False
9555,83,4778326,Detached,Detached,Detached,1036.0,4,0,4,2,0,2.0,643500.0,2025-04-28,80 Macewan Meadow Crescent NW ,Calgary ,Alberta,T3K 3H5,51.1379,-114.11,3713.0,1988.0,Full ,494.0,4 Level Split ,"Central, Natural Gas ",,False,,False,False,detached-indicator,False
9556,83,4778326,Detached,Detached,Detached,1098.0,3,0,3,2,0,2.0,486000.0,2025-04-28,303 Berwick Drive NW ,Calgary ,Alberta,T3K 1P6,51.1301,-114.097,4714.0,1980.0,"Full, Partially Finished ",498.0,Bungalow ,Forced Air ,,False,,False,False,detached-indicator,False
9557,83,4778326,Detached,Detached,Detached,2213.0,5,0,5,3,1,3.5,980000.0,2025-04-28,233 Edgebrook Grove NW ,Calgary ,Alberta,T3A 5T9,51.1381,-114.123,10742.0,1997.0,Full ,1190.0,2 Storey ,Forced Air ,Central Air ,False,,False,False,detached-indicator,False
9558,83,4778326,Detached,Detached,Detached,1143.0,4,0,4,3,0,3.0,596500.0,2025-04-29,1220 Berkley Drive NW ,Calgary ,Alberta,T3K 1S9,51.1274,-114.093,4402.0,1980.0,"Full, Separate/Exterior Entry ",,Bungalow ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
9559,83,4778326,Semi Detached (Half Duplex),Semi Detached (Half Duplex),Semi-Detached,1580.0,5,0,5,3,1,3.5,597000.0,2025-04-30,733 Sandringham Place NW ,Calgary ,Alberta,T3K 3Z1,51.1338,-114.106,5791.0,1991.0,Full ,783.0,"2 Storey, Attached-Si ","Forced Air, Natural Gas ",Central Air ,False,,False,False,semi-detached-indicator,False
9560,83,4778326,Detached,Detached,Detached,1403.0,3,0,3,2,1,2.5,621500.0,2025-05-01,22 Country Hills Manor NW ,Calgary ,Alberta,T3K 5C7,51.1466,-114.076,3853.0,1998.0,Full ,666.0,2 Storey ,Forced Air ,,False,,False,False,detached-indicator,False
9561,83,4778326,Detached,Detached,Detached,1822.0,3,0,3,2,1,2.5,683500.0,2025-05-01,13 Hidden Ranch Boulevard NW ,Calgary ,Alberta,T3A 5N6,51.1472,-114.119,5597.0,1995.0,Full ,890.0,2 Storey ,"Fireplace(s), Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
9562,83,4778326,Row/Townhouse,Row/Townhouse,Townhouse,1134.0,3,0,3,1,1,1.5,325000.0,2025-05-02,Unit 77 - 115 Bergen Road NW ,Calgary ,Alberta,T3K 1P2,51.1278,-114.075,,1979.0,"Full, Unfinished ",562.0,2 Storey ,Forced Air ,,False,,False,False,townhouse-indicator,False
9563,83,4778326,Detached,Detached,Detached,2135.0,4,0,4,3,0,3.0,655000.0,2025-05-02,32 Berkshire Road NW ,Calgary ,Alberta,T3K 2A6,51.1338,-114.083,6350.0,1980.0,"Partial, Partially Finished ",1447.0,4 Level Split ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
9564,83,4778326,Detached,Detached,Detached,1847.0,5,0,5,2,1,2.5,676000.0,2025-05-03,39 Berwick Crescent NW ,Calgary ,Alberta,T3K 1P7,51.1319,-114.09,5059.0,1980.0,"Partial, Partially Finished ",,2 Storey Split ,Forced Air ,,False,,False,False,detached-indicator,False
9565,83,4778326,Detached,Detached,Detached,1712.0,3,0,3,2,1,2.5,640000.0,2025-05-06,31 Beaconsfield Close NW ,Calgary ,Alberta,T3K 1X5,51.131,-114.104,7319.0,1980.0,"Full, Unfinished ",1004.0,2 Storey ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
9566,83,4778326,Detached,Detached,Detached,1115.0,4,0,4,2,0,2.0,640000.0,2025-05-06,120 MacEwan Glen Way NW ,Calgary ,Alberta,T3K 2G7,51.1332,-114.11,4435.0,1983.0,Full ,1115.0,Bi-Level ,Forced Air ,Central Air ,False,,False,False,detached-indicator,False
9567,83,4778326,Detached,Detached,Detached,1531.0,3,0,3,2,2,3.0,635000.0,2025-05-08,188 Hidden Valley Manor NW ,Calgary ,Alberta,T3A 5V6,51.1513,-114.101,4219.0,1997.0,"Full, Partially Finished ",769.0,2 Storey ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
9568,83,4778326,Detached,Detached,Detached,1787.0,6,0,6,3,1,3.5,620000.0,2025-05-08,151 Sandarac Drive NW ,Calgary ,Alberta,T3K 3V4,51.1354,-114.1,4467.0,1990.0,Full ,1107.0,2 Storey Split ,"Fireplace(s), Forced Air, Wood ",,False,,False,False,detached-indicator,False
9569,83,4778326,Detached,Detached,Detached,2244.0,4,0,4,3,1,3.5,860000.0,2025-05-09,210 Panorama Hills Bay NW ,Calgary ,Alberta,T3K 4X5,51.1499,-114.087,6060.0,1998.0,Full ,1239.0,2 Storey ,"Forced Air, Natural Gas ",Central Air ,False,,False,False,detached-indicator,False
9570,83,4778326,Row/Townhouse,Row/Townhouse,Townhouse,1362.0,3,0,3,1,1,1.5,383000.0,2025-05-09,21 Bermuda Lane NW ,Calgary ,Alberta,T3K 1H6,51.1326,-114.075,,1981.0,"Full, Unfinished ",669.0,2 Storey ,"Forced Air, Natural Gas ",,False,,False,False,townhouse-indicator,False
9571,83,4778326,Detached,Detached,Detached,2492.0,5,0,5,3,1,3.5,957000.0,2025-05-11,513 Country Hills Court NW ,Calgary ,Alberta,T3K 3Z3,51.1423,-114.089,6296.0,1992.0,Full ,1289.0,2 Storey ,"Forced Air, Natural Gas ",Central Air ,False,,False,False,detached-indicator,False
9572,84,4758996,Detached,Detached,Detached,2482.0,5,0,5,2,1,2.5,670000.0,2025-01-10,10 Tipping Close SE ,Airdrie ,Alberta,T4A 2A5,51.2792,-113.986,5186.0,1992.0,"Full, Partially Finished ",1257.0,2 Storey ,Forced Air ,,False,,False,False,detached-indicator,False
9573,84,4758996,Detached,Detached,Detached,956.0,2,0,2,1,0,1.0,232500.0,2025-01-10,272 Big Hill Circle SE ,Airdrie ,Alberta,T4A 1P7,51.2816,-113.996,4004.0,1978.0,Partial ,955.0,Modular Home ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
9574,84,4758996,Row/Townhouse,Row/Townhouse,Townhouse,1303.0,2,0,2,2,2,3.0,443000.0,2025-01-12,Unit 106 - 800 Yankee Valley Boulevard SE ,Airdrie ,Alberta,T4A 2L3,51.2712,-113.994,3056.0,2006.0,Full ,605.0,2 Storey ,"Forced Air, Natural Gas ",,False,,False,False,townhouse-indicator,False
9575,84,4758996,Detached,Detached,Detached,1418.0,4,0,4,3,1,3.5,555000.0,2025-01-13,221 Luxstone Place ,Airdrie ,Alberta,T4B 3C1,51.2751,-114.016,3767.0,2005.0,Full ,,2 Storey ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
9576,84,4758996,Detached,Detached,Detached,1278.0,5,0,5,2,0,2.0,535000.0,2025-01-13,36 Taylor Way SE ,Airdrie ,Alberta,T4A 1S3,51.2812,-113.989,5044.0,1982.0,Full ,1277.0,Bi-Level ,Forced Air ,,False,,False,False,detached-indicator,False
9577,84,4758996,Detached,Detached,Detached,2074.0,3,0,3,2,1,2.5,665000.0,2025-01-15,1338 Kings Heights Way SE ,Airdrie ,Alberta,T4A 2T1,51.2578,-113.992,4008.0,2014.0,"Full, Unfinished ",831.0,2 Storey ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False
9578,84,4758996,Detached,Detached,Detached,1236.0,4,0,4,3,0,3.0,633000.0,2025-01-15,27 Kingsland Way SE ,Airdrie ,Alberta,T4A 0A4,51.2694,-113.986,4079.0,2007.0,Full ,1236.0,Bungalow ,Forced Air ,,False,,False,False,detached-indicator,False
9579,84,4758996,Row/Townhouse,Row/Townhouse,Townhouse,1697.0,3,0,3,2,1,2.5,458000.0,2025-01-19,Unit 143 - 100 Coopers Common SW ,Airdrie ,Alberta,T4B 3C8,51.2697,-114.017,2703.0,2005.0,"Full, Unfinished ",781.0,2 Storey ,"High Efficiency, Forced Air, Natural Gas ",,False,,False,False,townhouse-indicator,False
9580,84,4758996,Detached,Detached,Detached,1639.0,4,0,4,3,0,3.0,705000.0,2025-01-20,41 Thornbird Rise SE ,Airdrie ,Alberta,T4A 2C8,51.2794,-113.98,5285.0,2002.0,Full ,,Bungalow ,,Central Air ,False,,False,False,detached-indicator,False
9581,84,4758996,Row/Townhouse,Row/Townhouse,Townhouse,1355.0,3,0,3,3,0,3.0,516500.0,2025-01-21,1199 LANARK Boulevard ,Airdrie ,Alberta,T0M,51.2589,-113.977,2166.0,2024.0,"Full, Unfinished ",,2 Storey ,,,False,,False,False,townhouse-indicator,False
