property_id,subject_id,orderID,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data,gla_diff_sqft,gla_diff_pct,size_match_excellent,size_match_good,size_match_acceptable,bedroom_diff,bedroom_exact_match,bedroom_close_match,bathroom_diff,bathroom_exact_match,bathroom_close_match,structure_type_match,property_age,age_diff_years,age_similar,same_city,same_province,postal_fsa,subject_fsa,same_fsa,distance_km,distance_excellent,distance_good,distance_acceptable,days_from_effective,sale_very_recent,sale_recent,sale_acceptable,recency_score,sale_month,effective_month,same_season,price_per_sqft,subject_price_per_sqft_est,price_per_sqft_diff,price_per_sqft_diff_pct,price_psf_very_similar,price_psf_similar,price_psf_acceptable,city_price_percentile,city_psf_percentile,market_tier,subject_market_tier,same_market_tier,needs_size_adjustment,needs_location_adjustment,needs_time_adjustment,total_adjustments_needed,physical_score,location_score,temporal_score,market_score,composite_score,comparable_rank,comparable_quality,is_top3_comparable
3119,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1700.0,3,0,3,0,0,0.0,654000.0,2025-03-28,215 Gossamer Street ,Orleans-Gloucester ,Ontario,K1C 7G4,45.4262,-75.5186,1953.0,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False,113.0,7.120352867044738,1,1,1,0.0,1,1,3.5,0,0,0,,,0,1,1,K1C,K1W,0,0.5983264170022967,1,1,1,11,1,1,1,0.9388888888888889,3,4,1,384.70588235294116,374.30303030303025,10.402852049910905,2.7792593721426484,1,1,1,0.4264705882352941,0.5294117647058824,Middle,Middle,1,0,0,0,0,85,75,100.0,100,86.5,1,Excellent,1
3131,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1750.0,3,0,3,0,0,0.0,670000.0,2025-04-10,261 Shinleaf Crescent ,Orleans-Gloucester ,Ontario,K1W 0J2,45.4361,-75.5125,,,"Full, Partially Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False,163.0,10.27095148078135,0,1,1,0.0,1,1,3.5,0,0,0,,,0,1,1,K1W,K1W,1,0.9272309257235299,1,1,1,-2,1,1,1,1.0,4,4,1,382.85714285714283,374.30303030303025,8.554112554112578,2.285344189489274,1,1,1,0.47058823529411764,0.5,Middle,Middle,1,1,0,0,1,55,100,100.0,100,82.0,2,Excellent,1
3188,26,4757939,Detached,Detached,Detached,806.0,2,0,2,1,0,1.0,558000.0,2025-01-13,629 20 Avenue NE ,Calgary ,Alberta,T2E 1R6,51.0705,-114.049,4682.0,1949.0,Full ,,Bungalow ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False,162.76,16.800858829844337,0,1,1,0.0,1,1,,0,0,1,76.0,,0,1,1,T2E,T2E,1,2.1056555526304317,0,1,1,84,1,1,1,0.5333333333333333,1,4,0,692.3076923076923,623.2427366447985,69.0649556628938,11.081550028918448,0,1,1,0.4055366682855755,0.9261418853255587,Middle,Middle,1,1,0,0,1,85,85,100.0,90,88.5,3,Excellent,1
3201,26,4757939,Detached,Detached,Detached,1064.0,5,0,5,2,0,2.0,699900.0,2025-01-25,928 16 Street NE ,Calgary ,Alberta,T2E 4S8,51.0605,-114.021,6006.0,1959.0,"Full, Separate/Exterior Entry ",1064.0,Bungalow ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False,95.24000000000001,9.831124323877948,1,1,1,3.0,0,0,,0,0,1,66.0,,0,1,1,T2E,T2E,1,1.2317494187071776,0,1,1,72,1,1,1,0.6,1,4,0,657.8007518796992,623.2427366447985,34.55801523490072,5.544872519644974,1,1,1,0.6328314715881496,0.9057337220602527,Middle,Middle,1,0,0,0,0,90,85,100.0,100,91.5,2,Excellent,1
3209,26,4757939,Detached,Detached,Detached,974.0,5,0,5,2,0,2.0,667500.0,2025-01-30,156 Van Horne Crescent NE ,Calgary ,Alberta,T2E 6H1,51.0692,-114.018,5209.0,1964.0,Full ,974.0,Bungalow ,"High Efficiency, Fireplace(s), Forced Air ",,False,,False,False,detached-indicator,False,5.240000000000009,0.5408976423469186,1,1,1,3.0,0,0,,0,0,1,61.0,,0,1,1,T2E,T2E,1,0.26530055948724074,1,1,1,67,1,1,1,0.6277777777777778,1,4,0,685.3182751540041,623.2427366447985,62.07553850920567,9.960090163807887,1,1,1,0.5806216610004856,0.9217687074829932,Middle,Middle,1,0,0,0,0,90,100,100.0,100,96.0,1,Excellent,1
3220,26,4757939,Detached,Detached,Detached,992.0,5,0,5,2,0,2.0,655000.0,2025-02-04,903 18 Street NE ,Calgary ,Alberta,T2E 4V6,51.0598,-114.016,6081.0,1962.0,Full ,992.0,Bungalow ,"Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False,23.24000000000001,2.3989429786531247,1,1,1,3.0,0,0,,0,0,1,63.0,,0,1,1,T2E,T2E,1,1.3184982830989436,0,1,1,62,1,1,1,0.6555555555555556,2,4,0,660.2822580645161,623.2427366447985,37.03952141971763,5.9430329856900315,1,1,1,0.559009227780476,0.9076773566569485,Middle,Middle,1,0,0,0,0,90,85,100.0,100,91.5,2,Excellent,1
3272,26,4757939,Detached,Detached,Detached,924.0,5,0,5,2,0,2.0,685000.0,2025-02-28,1043 16 Street NE ,Calgary ,Alberta,T2E 4S7,51.0622,-114.022,5995.0,1959.0,"Full, Separate/Exterior Entry ",924.0,Bungalow ,Forced Air ,,False,,False,False,detached-indicator,False,44.75999999999999,4.6203394029480975,1,1,1,3.0,0,0,,0,0,1,66.0,,0,1,1,T2E,T2E,1,1.0557757132494114,0,1,1,38,1,1,1,0.7888888888888889,2,4,0,741.3419913419914,623.2427366447985,118.09925469719292,18.94915861081276,0,1,1,0.6114618746964546,0.9499514091350826,Middle,Middle,1,0,0,0,0,90,85,100.0,100,91.5,2,Excellent,1
3437,27,4757966,Apartment,Apartment,Apartment,944.0,2,0,2,2,0,2.0,341000.0,2025-01-16,Unit NA - 3204 Tuscarora Manor NW ,Calgary ,Alberta,T3L 2J9,51.1317,-114.236,,1998.0,,,Apartment-Low-Rise ( ,"Baseboard, Hot Water, Natural Gas ",,False,,False,False,apartment-indicator,False,95.0,9.143407122232915,1,1,1,0.0,1,1,,0,0,0,27.0,,0,1,1,T3L,T3L,1,2.455989421007963,0,1,1,81,1,1,1,0.55,1,4,0,361.228813559322,451.42971718601973,90.20090362669771,19.981162115104798,0,1,1,0.14108790675084992,0.21865889212827988,Lower,Middle,0,0,0,0,0,85,85,100.0,70,86.5,1,Excellent,1
3569,27,4757966,Apartment,Apartment,Apartment,1028.0,2,0,2,2,0,2.0,355000.0,2025-05-09,Unit 2101 - 2101 Tuscarora Manor NW ,Calgary ,Alberta,T3L 2J9,51.131,-114.235,274.0,1990.0,,,Apartment-Single Lev ,"Hot Water, Natural Gas ",,False,,False,False,apartment-indicator,False,11.0,1.0587102983638113,1,1,1,0.0,1,1,,0,0,0,35.0,,0,1,1,T3L,T3L,1,2.353291346136593,0,1,1,-32,1,1,1,1.0,5,4,1,345.3307392996109,451.42971718601973,106.09897788640882,23.50287848743658,0,0,1,0.15784361340456532,0.1477162293488824,Lower,Middle,0,0,0,0,0,85,85,100.0,45,84.0,2,Excellent,1
3570,27,4757966,Detached,Detached,Detached,1056.0,5,0,5,4,0,4.0,690000.0,2025-05-12,59 Scenic Acres Drive NW ,Calgary ,Alberta,T3L 1A5,51.1176,-114.211,5844.0,1981.0,Full ,,4 Level Split ,"In Floor, Fireplace(s), Forced Air, Natural Gas ",,False,,False,False,detached-indicator,False,17.0,1.6361886429258903,1,1,1,3.0,0,0,,0,0,0,44.0,,0,1,1,T3L,T3L,1,0.2281350794133228,1,1,1,-35,1,1,1,1.0,5,4,1,653.4090909090909,451.42971718601973,201.97937372307115,44.742152772331096,0,0,0,0.6202039825157843,0.9033041788143829,Middle,Middle,1,0,0,0,0,60,100,100.0,60,80.0,3,Excellent,1
