property_id,subject_id,orderID,structure_type,property_sub_type,prop_type_clean,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,close_price,close_date,address,city,state_province,postal_code,latitude,longitude,lot_size_sqft,year_built,basement_type,main_level_finished_area,levels,heating,cooling,has_missing_bed_data,bedroom_imputation_method,has_missing_bath_data,has_missing_prop_type,prop_type_mapping_method,has_missing_date_data
3140,25,4756829,"Detached, Bungalow ",Detached,Detached,1750.0,3,0,3,0,0,0.0,847500.0,2025-04-15,658 Percifor Way ,Orleans-Gloucester ,Ontario,K1C 7G4,45.4291,-75.5225,,,Finished ,,Bungalow ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3142,25,4756829,"Detached, 2-Storey ",Detached,Detached,2250.0,4,0,4,0,0,0.0,800000.0,2025-04-16,861 CONTOUR Street ,Orleans-Gloucester ,Ontario,K1W 1G2,45.433,-75.5177,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3144,25,4756829,"Detached, 2-Storey ",Detached,Detached,2250.0,4,0,4,0,0,0.0,736000.0,2025-04-17,1943 Heatherwood Drive ,Orleans-Gloucester ,Ontario,K1W 1C3,45.4435,-75.5264,,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3145,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1300.0,3,0,3,0,0,0.0,599900.0,2025-04-17,1994 Ranchwood Way ,Orleans-Gloucester ,Ontario,K1C 7M4,45.4472,-75.53,,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3146,25,4756829,"Freehold Townhouse, 3-Storey ",Freehold Townhouse,Townhouse,1300.0,2,0,2,0,0,0.0,499000.0,2025-04-18,502 Barholm Private ,Orleans-Gloucester ,Ontario,K4B 1H9,45.431,-75.5088,,,"Partial Basement, Unfinished ",,3-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3147,25,4756829,"Detached, 2-Storey ",Detached,Detached,1750.0,3,0,3,0,0,0.0,649900.0,2025-04-19,1890 Markwell Crescent ,Orleans-Gloucester ,Ontario,K1C 5H6,45.4534,-75.5151,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3148,25,4756829,"Detached, 2-Storey ",Detached,Detached,1300.0,3,0,3,0,0,0.0,675000.0,2025-04-23,6399 Viseneau Drive ,Orleans-Gloucester ,Ontario,K1C 5E7,45.4558,-75.5183,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3151,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1750.0,4,0,4,0,0,0.0,635000.0,2025-04-24,207 Rolling Meadow Crescent ,Orleans-Gloucester ,Ontario,K1W 0B1,45.428,-75.5166,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3153,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1750.0,3,0,3,0,0,0.0,560000.0,2025-04-25,365 ROLLING MEADOW Crescent ,Orleans-Gloucester ,Ontario,K1W 0A9,45.4289,-75.5155,,,Full ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3154,25,4756829,"Detached, 2-Storey ",Detached,Detached,1300.0,3,0,3,0,0,0.0,700000.0,2025-04-25,2216 Noblewood Way ,Orleans-Gloucester ,Ontario,K1W 1E8,45.4377,-75.5211,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3155,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1750.0,3,0,3,0,0,0.0,635000.0,2025-04-25,243 Ludis Way ,Orleans-Gloucester ,Ontario,K1C 1T1,45.4457,-75.5186,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3156,25,4756829,"Detached, 2-Storey ",Detached,Detached,2750.0,4,0,4,0,0,0.0,1032000.0,2025-04-25,248 Enclave Walk S ,Orleans-Gloucester ,Ontario,K1W 0J5,45.4356,-75.5076,,,"Full, Unfinished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3157,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1300.0,3,0,3,0,0,0.0,575000.0,2025-04-27,340 BROADRIDGE Crescent ,Orleans-Gloucester ,Ontario,K1W 0H1,45.4293,-75.512,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3161,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1300.0,3,0,3,0,0,0.0,560000.0,2025-04-29,5981 Pineglade Crescent ,Orleans-Gloucester ,Ontario,K1W 1G7,45.443,-75.5339,,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3162,25,4756829,"Condo Townhouse, Stacked Townhouse ",Condo Townhouse,Condominium,1300.0,2,0,2,0,0,0.0,430000.0,2025-04-29,80 Carabiner Pvt ,Orleans-Gloucester ,Ontario,K1W 0L7,45.438,-75.5112,,,Partially Finished ,,Stacked Townhouse ,Forced Air ,Central Air ,False,,True,False,condo-indicator,False
3163,25,4756829,"Condo Apartment, 2-Storey ",Condo Apartment,Condominium,1300.0,2,0,2,0,0,0.0,427000.0,2025-04-29,28 Carabiner Private ,Orleans-Gloucester ,Ontario,K1W 0L7,45.437,-75.5103,,,Other ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,condo-indicator,False
3166,25,4756829,"Semi-Detached, 2-Storey ",Semi-Detached,Semi-Detached,1300.0,3,0,3,0,0,0.0,579000.0,2025-05-01,1845 Chaine Court ,Orleans-Gloucester ,Ontario,K1C 2W6,45.4528,-75.5223,,,"Full, Unfinished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,semi-detached-indicator,False
3168,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1300.0,3,0,3,0,0,0.0,642000.0,2025-05-02,367 Trailsedge Way ,Orleans-Gloucester ,Ontario,K1W 0G7,45.4342,-75.5192,,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3169,25,4756829,"Detached, 2-Storey ",Detached,Detached,2750.0,5,0,5,0,0,0.0,1086000.0,2025-05-05,2027 Silver Pines Crescent ,Orleans-Gloucester ,Ontario,K1W 1J9,45.4374,-75.5321,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3171,25,4756829,"Detached, Bungalow ",Detached,Detached,1750.0,3,0,3,0,0,0.0,960000.0,2025-05-05,6149 Castle Pines Way ,Orleans-Gloucester ,Ontario,K1W 1J1,45.4361,-75.5235,,,"Full, Finished ",,Bungalow ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3173,25,4756829,"Detached, 2-Storey ",Detached,Detached,2250.0,5,0,5,0,0,0.0,930000.0,2025-05-06,213 ENCLAVE Walk ,Orleans-Gloucester ,Ontario,K1W 0J4,45.4351,-75.5068,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3174,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,1750.0,4,0,4,0,0,0.0,685000.0,2025-05-06,319 JOSHUA Street ,Orleans-Gloucester ,Ontario,K0A 2Y0,45.4251,-75.5106,,,"Full, Finished ",,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3175,25,4756829,"Detached, 2-Storey ",Detached,Detached,1750.0,3,0,3,0,0,0.0,750000.0,2025-05-06,1801 Simard Drive ,Orleans-Gloucester ,Ontario,K1C 2P9,45.4543,-75.5217,,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
3179,25,4756829,"Semi-Detached, Bungalow ",Semi-Detached,Semi-Detached,1300.0,3,0,3,0,0,0.0,620000.0,2025-05-09,551 Chapel Park Private ,Orleans-Gloucester ,Ontario,K1C 7P2,45.4513,-75.5184,,,"Full, Partially Finished ",,Bungalow ,Forced Air ,Central Air ,False,,True,False,semi-detached-indicator,False
3181,25,4756829,"Freehold Townhouse, 2-Storey ",Freehold Townhouse,Townhouse,2250.0,3,0,3,0,0,0.0,709000.0,2025-05-09,237 Shinleaf Crescent ,Orleans-Gloucester ,Ontario,K1W 0J2,45.4358,-75.5134,,,Finished ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,townhouse-indicator,False
3182,25,4756829,"Detached, 2-Storey ",Detached,Detached,1750.0,3,0,3,0,0,0.0,766000.0,2025-05-10,2176 Cavalier Way ,Orleans-Gloucester ,Ontario,K1W 1K2,45.4351,-75.5309,,,Full ,,2-Storey ,Forced Air ,Central Air ,False,,True,False,detached-indicator,False
