subject_id,comp_id,comp_index,condition,age_years,age_uncertainty,prop_type,city_province,lot_size_sqft,gla_sqft,bedrooms_main,bedrooms_additional,bedrooms_total,bathrooms_full,bathrooms_half,bathrooms_equivalent,sale_price,sale_date,has_lot_size_uncertainty,has_gla_uncertainty,has_additional_bedrooms
64,64_0,0,Excellent,22.0,False,Detached,Calgary AB T3J 5A8,4477.824,1259.0,3,0,3,2,0,2.0,647500.0,2025-03-25,False,False,False
64,64_1,1,Excellent,21.0,False,Detached,Calgary AB T3J 5A8,5317.415999999999,1120.0,1,0,1,1,1,1.5,565000.0,2025-02-18,False,False,False
64,64_2,2,Average,22.0,False,Detached,Calgary AB T3J 5A2,3326.076,1189.04,3,0,3,2,0,2.0,575000.0,2025-04-25,False,False,False
65,65_0,0,Good,29.0,False,Detached,Calgary AB T3A 5S6,,1811.0,3,0,3,2,1,2.5,668500.0,2025-04-25,True,False,False
65,65_1,1,Good,27.0,False,Detached,Calgary AB T3A 5X6,,1554.0,3,0,3,2,1,2.5,650000.0,2025-02-21,True,False,False
65,65_2,2,Excellent,28.0,False,Detached,Calgary AB T3A 5V3,,1548.0,3,0,3,2,1,2.5,700000.0,2025-02-03,True,False,False
66,66_0,0,Average,50.0,False,Townhouse,Brampton ON L6T 3Z3,,1178.0,3,0,3,2,1,2.5,675000.0,2025-01-25,False,False,False
66,66_1,1,Excellent,50.0,False,Townhouse,Brampton ON L6T 3Z2,,1178.0,3,0,3,1,1,1.5,659900.0,2024-12-06,False,False,False
66,66_2,2,Average,54.0,False,Townhouse,Brampton ON L6T 2E7,,1231.0,4,0,4,2,0,2.0,628000.0,2025-03-10,False,False,False
67,67_0,0,Excellent,19.0,False,Detached,Calgary AB T2Y 4M8,4628.5199999999995,2540.0,4,0,4,2,1,2.5,890000.0,2025-03-23,False,False,False
67,67_1,1,Good,19.0,False,Detached,Calgary AB T2Y 0A2,4154.9039999999995,2274.0,3,0,3,2,1,2.5,900000.0,2025-02-14,False,False,False
67,67_2,2,Excellent,21.0,False,Detached,Calgary AB T2Y 5B1,4789.98,2431.0,3,0,3,2,1,2.5,905000.0,2025-02-08,False,False,False
68,68_0,0,Fair,63.0,False,Detached,Lowbanks ON N0A 1K0,,1032.0,3,0,3,1,0,1.0,500000.0,2025-02-27,True,False,False
68,68_1,1,Excellent,75.0,True,Detached,Wainfleet ON L0S 1V0,,1560.0,3,0,3,1,0,1.0,750000.0,2024-12-11,True,False,False
68,68_2,2,Excellent,55.0,True,Detached,Dunnville ON N1A 2W8,,1700.0,3,0,3,2,0,2.0,830000.0,2025-05-02,True,False,False
69,69_0,0,Good,20.0,False,Detached,Langdon AB T0J 1X2,9902.88,2352.1,3,0,3,3,0,3.0,770000.0,2025-04-08,False,False,False
69,69_1,1,Good,27.0,False,Detached,Langdon AB T0J 1X1,10893.168,1560.55,3,0,3,2,1,2.5,652500.0,2025-04-07,False,False,False
69,69_2,2,Excellent,21.0,False,Detached,Langdon AB T0J 1X2,8708.076,2238.5,4,0,4,2,1,2.5,785000.0,2025-03-24,False,False,False
70,70_0,0,Excellent,7.0,False,Detached,Haldimand ON N1A 2W2,,2000.0,3,0,3,2,1,2.5,1315000.0,2025-04-14,True,False,False
70,70_1,1,Average,30.0,True,Detached,Haldimand ON N1A 2W2,,2009.0,3,0,3,2,1,2.5,1195000.0,2025-03-28,True,False,False
70,70_2,2,Fair,45.0,False,Detached,Wainfleet ON L0S 1V0,,4302.0,4,0,4,3,1,3.5,1410000.0,2024-11-28,True,False,False
71,71_0,0,Average,52.0,False,Detached,Amherstburg ON N9V 0C8,22500.0,1418.0,3,0,3,2,0,2.0,674000.0,2024-11-17,False,False,False
71,71_1,1,Average,70.0,False,Detached,Amherstburg ON N9V 2Y7,21582.0,1089.0,6,0,6,2,0,2.0,680000.0,2025-02-11,False,False,False
71,71_2,2,Average,52.0,False,Detached,Amherstburg ON N9V 3R3,17000.0,2685.0,5,0,5,2,0,2.0,760000.0,2025-03-04,False,False,False
72,72_0,0,Average,48.0,False,Detached,Kingston ON K7M 6S7,5400.0,1158.0,3,0,3,1,1,1.5,595000.0,2025-02-05,True,False,False
72,72_1,1,Average,17.0,False,Detached,Kingston ON K7M 0B4,4865.0,1537.0,3,0,3,2,0,2.0,655000.0,2025-04-05,True,False,False
72,72_2,2,Fair,49.0,False,Detached,Kingston ON K7M 6A9,6900.0,1494.0,4,0,4,2,0,2.0,630000.0,2025-04-14,True,False,False
73,73_0,0,Fair,17.0,False,Detached,Langdon AB T0J 1X3,7840.0,2342.0,3,0,3,2,1,2.5,826000.0,2025-03-28,False,False,False
73,73_1,1,Average,11.0,False,Detached,Langdon AB T0J 1X3,8276.0,2700.0,3,0,3,3,1,3.5,930000.0,2025-04-25,False,False,False
73,73_2,2,Fair,14.0,False,Detached,Langdon AB T0J 1X1,10018.0,1917.0,3,0,3,3,1,3.5,837500.0,2025-04-17,False,False,False
74,74_0,0,Average,2.0,False,Detached,Calgary AB T3H 6C8,9030.996,4180.0,5,0,5,3,1,3.5,2700000.0,2025-04-30,False,False,False
74,74_1,1,Fair,11.0,False,Detached,Calgary AB T3H 0W3,10193.508,3436.47,3,0,3,2,1,2.5,1785000.0,2025-03-31,False,False,False
74,74_2,2,Fair,10.0,False,Detached,Calgary AB T3H 0Z3,8116.056,3236.6,3,0,3,3,1,3.5,1700000.0,2025-04-08,False,False,False
75,75_0,0,Excellent,11.0,False,Detached,Calgary AB T2Z 5A3,3799.0,2389.0,3,0,3,3,1,3.5,819900.0,2025-04-17,False,False,False
75,75_1,1,Excellent,18.0,False,Detached,Calgary AB T2Z 0C1,5360.0,2344.0,3,0,3,3,1,3.5,880868.0,2025-02-14,False,False,False
75,75_2,2,Average,15.0,False,Detached,Calgary AB T2Z 0X2,3961.0,2097.0,3,0,3,3,1,3.5,715000.0,2025-03-13,False,False,False
76,76_0,0,Good,4.0,False,Detached,Grand Valley ON L9W 6P4,5364.3216,2341.0,3,0,3,2,1,2.5,1028888.0,2025-04-28,False,False,False
76,76_1,1,Good,2.0,False,Detached,Grand Valley ON L9W 7S7,4683.9845000000005,2432.0,4,0,4,2,1,2.5,1070000.0,2025-02-07,False,False,False
76,76_2,2,Good,2.0,False,Detached,Grand Valley ON L9W 7S7,5255.7792,1916.0,3,0,3,2,1,2.5,870000.0,2025-03-21,False,False,False
77,77_0,0,Excellent,52.0,False,Fourplex,Calgary AB T2T 1G5,6243.12,2002.1039999999998,8,0,8,4,2,5.0,1350000.0,2025-04-12,False,False,False
77,77_1,1,Fair,74.0,False,Fourplex,Calgary AB T2T 1J3,6243.12,2098.98,7,0,7,4,0,4.0,1190000.0,2024-11-08,False,False,False
77,77_2,2,Average,70.0,False,Fourplex,Calgary AB T2S 2R2,7491.744,1614.6,8,0,8,4,0,4.0,1232000.0,2024-12-06,False,False,False
78,78_0,0,Fair,33.0,False,Detached,Calgary AB T2Z 2G4,4596.0,1286.0,2,0,2,3,0,3.0,615000.0,2025-04-16,False,False,False
78,78_1,1,Fair,30.0,False,Detached,Calgary AB T2Z 2P4,4929.0,1514.0,2,0,2,3,0,3.0,669000.0,2025-01-24,False,False,False
78,78_2,2,Average,49.0,False,Detached,Calgary AB T2J 4S8,5823.0,1401.0,3,0,3,2,1,2.5,600000.0,2024-12-28,False,False,False
79,79_0,0,Average,22.0,True,Detached,Kitchener ON N2E 3Z6,3054.0,1617.0,4,0,4,2,1,2.5,825000.0,2025-04-11,False,False,False
